file,norm_bitrate,complexity,framerate,width,height,size,duration,complexity_class
Sintel_8s_442375-450375.avi,4.957859368971836,5.056685118003831,24.0,3840,2160,7895514,8.0,0
Sintel_8s_452000-460000.avi,8.00819679542824,6.5711617240979585,24.0,3840,2160,12753252,8.0,2
Sintel_8s_462207-470207.avi,4.902907634468236,5.021481539491443,24.0,3840,2160,7808002,8.0,0
Sintel_8s_472750-480750.avi,15.59849366239069,8.676964805888781,24.0,3840,2160,24840988,8.0,3
Sintel_8s_482000-490000.avi,3.0200044608410495,3.4909642505666865,24.0,3840,2160,4809432,8.0,0
Sintel_8s_500500-508500.avi,5.781258791071888,5.541981167116674,24.0,3840,2160,9206798,8.0,1
Sintel_8s_512665-520665.avi,4.446771566759903,4.7130532368144085,24.0,3840,2160,7081594,8.0,0
Sintel_8s_523415-531415.avi,6.43236199524177,5.8790580167281465,24.0,3840,2160,10243696,8.0,1
Sintel_8s_564000-572000.avi,11.972878538532022,7.8414441944093936,24.0,3840,2160,19067106,8.0,2
Sintel_8s_572958-580958.avi,10.235838085535624,7.346352054040764,24.0,3840,2160,16300826,8.0,2
Sintel_8s_583415-590665.avi,6.572968217858664,5.947356598909457,24.0,3840,2160,9486276,7.25,1
Sintel_8s_622000-630000.avi,4.2520367657696765,4.571614625812736,24.0,3840,2160,6771474,8.0,0
Sintel_8s_642000-650000.avi,8.794825675556199,6.867107168138378,24.0,3840,2160,14005978,8.0,2
Sintel_8s_662541-670541.avi,5.748530886300798,5.524049957275814,24.0,3840,2160,9154678,8.0,1
Sintel_8s_692000-700000.avi,2.780142576115612,3.2295786817128604,24.0,3840,2160,4427446,8.0,0
Sintel_8s_702000-710000.avi,6.049702962239584,5.685338556418038,24.0,3840,2160,9634302,8.0,1
Sintel_8s_712000-720000.avi,15.036860964425797,8.561143157239416,24.0,3840,2160,23946574,8.0,3
Sintel_8s_724000-732000.avi,3.3777458285108026,3.8445597549394517,24.0,3840,2160,5379144,8.0,0
Sintel_8s_732000-740000.avi,2.5309948077417697,2.933027303398959,24.0,3840,2160,4030672,8.0,0
